Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,HTMValue,ATMValue,HTMValueSeason,ATMValueSeason
E0,2014-08-23,Everton FC,Arsenal FC,2.0,2.0,D,2.0,0.0,H,K Friend,8.0,13.0,2.0,3.0,10.0,18.0,3.0,3.0,1.0,4.0,0.0,0.0,2.8,3.4,2.7,2.75,3.25,2.7,2.75,3.3,2.4,2.75,3.25,2.7,2.72,3.45,2.76,2.7,3.1,2.7,2.63,3.25,2.63,2.7,3.4,2.8,50.0,2.82,2.71,3.5,3.3,2.78,2.65,48.0,1.94,1.83,2.08,1.97,24.0,0.0,1.98,1.93,2.0,1.93,2.66,3.48,2.82,121.0,354.1,121.0,354.1
E0,2014-08-23,Southampton FC,West Bromwich Albion,0.0,0.0,D,0.0,0.0,D,R East,8.0,8.0,2.0,2.0,14.0,15.0,1.0,5.0,1.0,2.0,0.0,0.0,1.85,3.7,4.75,1.87,3.75,4.2,1.95,3.35,3.7,1.85,3.5,4.33,1.86,3.76,4.62,1.91,3.2,4.5,1.83,3.4,4.5,1.87,3.7,4.5,50.0,1.95,1.86,3.8,3.52,4.8,4.43,48.0,1.99,1.89,2.02,1.91,24.0,-0.5,1.88,1.85,2.08,2.03,1.68,4.07,5.63,110.05,64.45,110.05,64.45
E0,2014-08-23,Swansea City,Burnley FC,1.0,0.0,H,1.0,0.0,H,C Pawson,10.0,12.0,5.0,1.0,14.0,13.0,2.0,3.0,2.0,1.0,0.0,0.0,1.65,4.0,6.0,1.7,3.6,5.75,1.7,3.6,4.7,1.66,3.75,5.0,1.64,4.13,5.98,1.67,3.4,6.0,1.62,3.75,5.5,1.65,4.0,6.0,50.0,1.7,1.64,4.11,3.83,6.25,5.65,48.0,1.91,1.84,2.08,1.96,27.0,-1.0,2.15,2.09,1.87,1.79,1.68,3.89,5.99,124.2,26.4,124.2,26.4
E0,2014-08-24,Hull City,Stoke City,1.0,1.0,D,1.0,0.0,H,J Moss,9.0,19.0,2.0,3.0,10.0,10.0,4.0,5.0,1.0,3.0,1.0,0.0,2.5,3.25,3.2,2.55,3.2,2.95,2.3,3.3,2.9,2.4,3.2,3.2,2.48,3.18,3.31,2.5,3.2,2.8,2.38,3.2,3.0,2.5,3.1,3.3,51.0,2.6,2.44,3.3,3.16,3.31,3.1,42.0,2.7,2.51,1.56,1.5,25.0,0.0,1.71,1.68,2.31,2.22,2.46,3.24,3.28,72.9,103.85,72.9,103.85
E0,2014-08-24,Sunderland AFC,Manchester United,1.0,1.0,D,1.0,1.0,D,M Atkinson,11.0,10.0,3.0,3.0,10.0,15.0,4.0,4.0,0.0,2.0,0.0,0.0,5.0,4.0,1.75,4.4,3.75,1.83,4.9,3.7,1.65,4.5,3.6,1.8,4.95,3.93,1.79,4.5,3.5,1.8,4.8,3.6,1.73,5.0,3.9,1.75,50.0,5.25,4.8,4.0,3.68,1.81,1.76,48.0,1.95,1.86,2.04,1.94,24.0,0.75,1.94,1.89,2.05,1.99,5.54,4.35,1.64,83.85,417.3,83.85,417.3
E0,2014-08-24,Tottenham Hotspur,Queens Park Rangers,4.0,0.0,H,3.0,0.0,H,A Taylor,18.0,9.0,5.0,1.0,12.0,6.0,7.0,6.0,0.0,1.0,0.0,0.0,1.45,4.75,8.0,1.48,4.25,7.75,1.45,4.0,7.0,1.44,4.33,7.5,1.49,4.64,7.5,1.5,4.0,7.0,1.5,4.33,6.5,1.5,4.4,7.5,50.0,1.51,1.46,4.77,4.37,8.2,7.21,49.0,1.83,1.76,2.18,2.03,28.0,-1.0,1.86,1.81,2.2,2.07,1.61,4.2,6.18,287.85,66.35,287.85,66.35
E0,2014-08-25,Manchester City,Liverpool FC,3.0,1.0,H,1.0,0.0,H,M Oliver,9.0,11.0,4.0,3.0,13.0,7.0,6.0,7.0,1.0,1.0,0.0,0.0,1.85,4.0,4.33,1.87,3.9,4.0,1.85,3.45,4.0,1.85,3.75,4.2,1.83,4.05,4.43,1.85,3.4,4.33,1.83,3.5,4.33,1.85,4.0,4.3,48.0,1.88,1.83,4.1,3.72,4.5,4.26,45.0,1.7,1.61,2.52,2.29,22.0,-0.75,2.1,2.06,1.88,1.83,1.85,4.01,4.35,493.3,316.0,493.3,316.0
E0,2014-08-30,Burnley FC,Manchester United,0.0,0.0,D,0.0,0.0,D,C Foy,9.0,7.0,3.0,2.0,10.0,14.0,3.0,6.0,2.0,2.0,0.0,0.0,6.0,4.2,1.62,5.75,4.0,1.62,5.6,3.9,1.55,5.5,4.0,1.61,6.11,4.18,1.62,6.5,3.4,1.62,5.75,3.8,1.62,6.25,4.0,1.62,50.0,6.54,5.97,4.27,3.89,1.67,1.6,47.0,2.0,1.91,1.95,1.89,28.0,1.0,1.84,1.79,2.2,2.08,6.84,4.23,1.57,26.4,417.3,26.4,417.3
E0,2014-08-30,Everton FC,Chelsea FC,3.0,6.0,A,1.0,2.0,A,J Moss,17.0,12.0,7.0,8.0,7.0,16.0,8.0,2.0,1.0,3.0,0.0,0.0,3.75,3.3,2.2,3.5,3.3,2.2,3.6,3.3,2.0,3.5,3.4,2.2,3.79,3.33,2.19,3.6,2.88,2.25,3.5,3.4,2.1,3.7,3.4,2.15,50.0,3.84,3.56,3.5,3.31,2.22,2.15,47.0,2.19,2.07,1.81,1.75,22.0,0.25,2.09,2.01,1.9,1.86,4.36,3.49,1.98,121.0,540.7,121.0,540.7
E0,2014-08-30,Manchester City,Stoke City,0.0,1.0,A,0.0,0.0,D,L Mason,16.0,7.0,2.0,2.0,14.0,5.0,11.0,4.0,2.0,1.0,0.0,0.0,1.18,8.0,18.0,1.18,6.5,14.5,1.2,5.8,13.0,1.18,7.5,17.0,1.2,7.8,17.95,1.2,5.5,21.0,1.2,7.0,12.0,1.2,7.0,20.0,49.0,1.21,1.19,8.0,7.04,21.0,15.58,37.0,1.6,1.54,2.58,2.44,25.0,-2.0,2.12,2.06,1.92,1.82,1.23,7.14,14.99,493.3,103.85,493.3,103.85
E0,2014-08-30,Newcastle United,Crystal Palace,3.0,3.0,D,1.0,1.0,D,M Jones,18.0,12.0,4.0,7.0,12.0,19.0,11.0,4.0,1.0,3.0,0.0,0.0,1.75,3.75,5.25,1.75,3.5,4.75,1.75,3.5,4.5,1.75,3.6,5.0,1.74,3.78,5.58,1.75,3.2,5.5,1.73,3.6,5.25,1.75,3.6,5.75,50.0,1.77,1.72,3.8,3.6,5.8,5.22,46.0,2.28,2.18,1.74,1.67,22.0,-0.75,1.97,1.93,2.0,1.95,1.68,3.91,5.91,143.5,51.0,143.5,51.0
E0,2014-08-30,Queens Park Rangers,Sunderland AFC,1.0,0.0,H,1.0,0.0,H,R Madley,18.0,16.0,5.0,6.0,8.0,9.0,4.0,6.0,1.0,2.0,0.0,0.0,2.4,3.25,3.3,2.45,3.2,2.85,2.5,3.3,2.65,2.5,3.25,3.0,2.43,3.23,3.35,2.5,2.9,3.1,2.38,3.2,3.13,2.45,3.12,3.4,49.0,2.51,2.41,3.3,3.17,3.4,3.13,40.0,2.53,2.37,1.67,1.57,24.0,-0.25,2.11,2.06,1.85,1.82,2.56,3.28,3.05,66.35,83.85,66.35,83.85
E0,2014-08-30,Swansea City,West Bromwich Albion,3.0,0.0,H,2.0,0.0,H,P Tierney,15.0,16.0,8.0,2.0,10.0,8.0,0.0,7.0,1.0,2.0,0.0,0.0,1.85,3.6,4.75,1.85,3.4,4.2,1.8,3.5,4.2,1.85,3.6,4.5,1.88,3.66,4.67,1.91,3.1,4.5,1.83,3.5,4.5,1.91,3.6,4.5,50.0,1.91,1.85,3.7,3.51,4.9,4.47,46.0,2.05,1.95,1.92,1.83,23.0,-0.5,1.88,1.84,2.08,2.04,2.02,3.5,4.16,124.2,64.45,124.2,64.45
E0,2014-08-30,West Ham United,Southampton FC,1.0,3.0,A,1.0,1.0,D,M Dean,4.0,18.0,2.0,8.0,11.0,13.0,2.0,9.0,2.0,1.0,0.0,0.0,2.8,3.4,2.7,2.6,3.2,2.7,2.5,3.3,2.65,2.75,3.25,2.75,2.8,3.43,2.69,2.9,2.8,2.75,2.75,3.25,2.6,2.8,3.3,2.75,50.0,2.9,2.73,3.5,3.26,2.76,2.65,46.0,2.14,2.04,1.87,1.77,27.0,0.0,2.03,1.96,1.94,1.89,3.35,3.31,2.36,94.5,110.05,94.5,110.05
E0,2014-08-31,Aston Villa,Hull City,2.0,1.0,H,2.0,0.0,H,M Clattenburg,11.0,9.0,4.0,3.0,9.0,10.0,3.0,7.0,1.0,4.0,0.0,0.0,2.3,3.3,3.5,2.35,3.1,3.1,2.1,3.3,3.3,2.25,3.2,3.6,2.33,3.16,3.63,2.38,2.88,3.4,2.2,3.2,3.5,2.3,3.1,3.7,50.0,2.38,2.25,3.3,3.15,3.75,3.47,40.0,2.89,2.61,1.53,1.48,22.0,-0.25,1.98,1.94,1.96,1.93,2.53,3.17,3.24,98.5,72.9,98.5,72.9
E0,2014-08-31,Leicester City,Arsenal FC,1.0,1.0,D,1.0,1.0,D,A Taylor,9.0,24.0,3.0,6.0,14.0,6.0,5.0,10.0,3.0,1.0,0.0,0.0,4.75,3.75,1.83,4.33,3.4,1.83,4.5,3.5,1.75,4.5,3.75,1.83,4.54,3.8,1.87,4.8,3.0,1.91,4.33,3.5,1.83,4.6,3.75,1.85,50.0,4.75,4.48,3.9,3.6,1.89,1.82,47.0,1.9,1.81,2.1,1.98,22.0,0.75,1.83,1.8,2.15,2.08,4.37,3.67,1.93,29.95,354.1,29.95,354.1
E0,2014-08-31,Tottenham Hotspur,Liverpool FC,0.0,3.0,A,0.0,1.0,A,P Dowd,7.0,17.0,1.0,8.0,14.0,11.0,7.0,3.0,0.0,4.0,0.0,0.0,2.7,3.5,2.7,2.7,3.2,2.7,2.6,3.2,2.6,2.7,3.4,2.7,2.69,3.48,2.77,2.7,3.0,2.8,2.6,3.4,2.63,2.7,3.5,2.7,49.0,2.74,2.63,3.6,3.38,2.8,2.68,39.0,1.72,1.64,2.34,2.22,26.0,0.0,1.97,1.92,2.01,1.94,2.78,3.62,2.59,287.85,316.0,287.85,316.0
E0,2014-09-13,Arsenal FC,Manchester City,2.0,2.0,D,0.0,1.0,A,M Clattenburg,15.0,15.0,6.0,8.0,11.0,15.0,0.0,3.0,3.0,4.0,0.0,0.0,3.0,3.4,2.5,2.85,3.5,2.5,2.75,3.3,2.4,2.87,3.5,2.5,3.03,3.48,2.48,3.0,3.0,2.5,3.0,3.3,2.38,2.9,3.5,2.5,47.0,3.05,2.93,3.55,3.35,2.51,2.43,46.0,1.91,1.81,2.08,1.98,25.0,0.0,2.23,2.13,1.79,1.74,2.49,3.33,3.08,354.1,493.3,354.1,493.3
E0,2014-09-13,Chelsea FC,Swansea City,4.0,2.0,H,1.0,1.0,D,K Friend,29.0,11.0,9.0,2.0,12.0,11.0,7.0,4.0,0.0,3.0,0.0,0.0,1.3,5.75,12.0,1.3,5.0,9.5,1.3,5.0,9.0,1.28,5.5,12.0,1.32,5.62,12.04,1.3,5.0,11.0,1.3,5.5,9.5,1.3,5.5,12.0,46.0,1.33,1.3,6.0,5.41,12.5,10.78,44.0,1.82,1.73,2.18,2.09,28.0,-1.5,2.03,1.96,1.98,1.9,1.31,5.74,12.51,540.7,124.2,540.7,124.2
E0,2014-09-13,Crystal Palace,Burnley FC,0.0,0.0,D,0.0,0.0,D,M Dean,14.0,11.0,3.0,3.0,12.0,10.0,5.0,5.0,2.0,3.0,0.0,0.0,2.25,3.3,3.6,2.25,3.2,3.2,2.0,3.3,3.6,2.1,3.3,3.8,2.23,3.35,3.66,2.25,3.1,3.4,2.2,3.25,3.4,2.25,3.2,3.7,46.0,2.3,2.19,3.35,3.24,3.8,3.5,43.0,2.42,2.29,1.68,1.61,24.0,-0.25,1.93,1.88,2.05,1.99,2.22,3.38,3.64,51.0,26.4,51.0,26.4
E0,2014-09-13,Liverpool FC,Aston Villa,0.0,1.0,A,0.0,1.0,A,L Mason,18.0,5.0,1.0,1.0,9.0,10.0,7.0,6.0,2.0,1.0,0.0,0.0,1.3,6.0,11.0,1.3,5.5,11.0,1.27,5.2,10.0,1.3,5.5,11.0,1.3,5.92,11.85,1.3,5.0,11.0,1.29,5.5,9.5,1.3,6.0,11.5,45.0,1.33,1.29,6.0,5.58,12.0,10.79,37.0,1.59,1.53,2.58,2.42,26.0,-1.5,1.88,1.82,2.1,2.04,1.3,6.05,11.5,316.0,98.5,316.0,98.5
E0,2014-09-13,Southampton FC,Newcastle United,4.0,0.0,H,2.0,0.0,H,C Foy,10.0,9.0,7.0,4.0,15.0,7.0,5.0,5.0,0.0,2.0,0.0,0.0,1.8,3.75,5.0,1.83,3.3,4.5,1.9,3.45,3.8,1.83,3.6,4.5,1.79,3.78,5.06,1.83,3.2,5.0,1.73,3.6,4.8,1.83,3.6,5.0,47.0,1.9,1.78,3.8,3.6,5.1,4.78,45.0,2.1,2.02,1.87,1.78,24.0,-0.75,2.06,2.01,1.9,1.86,1.75,3.83,5.37,110.05,143.5,110.05,143.5
E0,2014-09-13,Stoke City,Leicester City,0.0,1.0,A,0.0,0.0,D,M Oliver,24.0,8.0,4.0,1.0,8.0,15.0,13.0,3.0,3.0,0.0,0.0,0.0,2.1,3.4,4.0,2.15,3.4,3.25,2.0,3.3,3.6,2.05,3.3,4.0,2.1,3.35,4.07,2.15,3.1,3.6,2.1,3.2,3.75,2.15,3.25,4.0,47.0,2.16,2.09,3.4,3.24,4.07,3.8,42.0,2.45,2.31,1.66,1.6,23.0,-0.25,1.83,1.78,2.17,2.1,2.18,3.55,3.58,103.85,29.95,103.85,29.95
E0,2014-09-13,Sunderland AFC,Tottenham Hotspur,2.0,2.0,D,1.0,1.0,D,C Pawson,6.0,15.0,1.0,6.0,10.0,13.0,5.0,5.0,5.0,1.0,0.0,0.0,3.6,3.5,2.15,3.4,3.2,2.15,3.6,3.3,2.0,3.6,3.5,2.1,3.71,3.5,2.15,3.4,3.3,2.15,3.5,3.4,2.1,3.75,3.4,2.15,46.0,3.84,3.59,3.55,3.37,2.2,2.11,45.0,2.09,1.97,1.9,1.82,23.0,0.5,1.82,1.78,2.15,2.1,3.6,3.59,2.14,83.85,287.85,83.85,287.85
E0,2014-09-13,West Bromwich Albion,Everton FC,0.0,2.0,A,0.0,1.0,A,A Taylor,11.0,11.0,1.0,4.0,12.0,8.0,9.0,1.0,2.0,3.0,0.0,0.0,3.5,3.5,2.2,3.3,3.2,2.2,3.2,3.2,2.2,3.6,3.4,2.1,3.57,3.48,2.21,3.4,3.2,2.2,3.4,3.4,2.1,3.6,3.5,2.15,46.0,3.74,3.45,3.5,3.37,2.21,2.15,45.0,1.96,1.88,2.0,1.91,24.0,0.25,2.06,2.02,1.9,1.85,3.64,3.54,2.15,64.45,121.0,64.45,121.0
E0,2014-09-14,Manchester United,Queens Park Rangers,4.0,0.0,H,3.0,0.0,H,P Dowd,19.0,9.0,9.0,2.0,11.0,8.0,3.0,1.0,1.0,0.0,0.0,0.0,1.29,6.25,12.0,1.33,5.0,11.5,1.27,5.2,10.0,1.3,5.5,11.0,1.27,6.33,13.29,1.3,5.0,11.0,1.25,5.5,11.0,1.29,5.75,13.0,46.0,1.33,1.27,6.33,5.72,13.29,11.51,43.0,1.7,1.64,2.38,2.23,26.0,-1.5,1.85,1.8,2.14,2.06,1.27,6.43,13.3,417.3,66.35,417.3,66.35
E0,2014-09-15,Hull City,West Ham United,2.0,2.0,D,1.0,0.0,H,M Atkinson,11.0,16.0,6.0,4.0,12.0,7.0,3.0,10.0,3.0,1.0,0.0,0.0,2.15,3.4,3.75,2.25,3.3,3.4,2.3,3.3,2.9,2.15,3.3,3.6,2.15,3.33,3.91,2.2,3.1,3.5,2.1,3.25,3.6,2.15,3.3,3.9,44.0,2.31,2.13,3.4,3.28,4.0,3.63,41.0,2.45,2.33,1.67,1.58,22.0,-0.25,1.85,1.81,2.15,2.07,2.18,3.36,3.72,72.9,94.5,72.9,94.5
